INPUT  BUFFER_DATA_IN[11] 	 location (16, 33, 0) 	 B9 	 
OUTPUT A13 	 location (27, 33, 1) 	 A16 	 
INPUT  D6_in 	 location (0, 31, 1) 	 E4 	 
OUTPUT BUFFER_DATA_OUT[9] 	 location (0, 27, 0) 	 D2 	 
OUTPUT A9 	 location (28, 33, 1) 	 C13 	 
OUTPUT D3 	 location (33, 3, 1) 	 M13 	 
INPUT  CLK 	 location (16, 0, 1) 	 R9 	 
OUTPUT BUFFER_DATA_OUT[15] 	 location (0, 3, 1) 	 R1 	 
INPUT  BUFFER_DATA_IN[2] 	 location (20, 33, 0) 	 C9 	 
OUTPUT A6 	 location (33, 31, 0) 	 D14 	 
INPUT  BUFFER_DATA_IN[14] 	 location (1, 33, 1) 	 D3 	 
OUTPUT BUFFER_ADDRESS[4] 	 location (0, 6, 0) 	 N3 	 
OUTPUT BUFFER_ADDRESS[10] 	 location (0, 16, 1) 	 J3 	 
INPUT  D8_in 	 location (8, 33, 1) 	 D6 	 
OUTPUT BUFFER_DATA_OUT[5] 	 location (0, 11, 1) 	 K4 	 
INPUT  BUFFER_DATA_IN[7] 	 location (10, 33, 0) 	 C6 	 
OUTPUT D7 	 location (33, 4, 1) 	 L12 	 
OUTPUT D12 	 location (33, 10, 1) 	 K13 	 
OUTPUT CE 	 location (0, 9, 1) 	 K5 	 
OUTPUT BUFFER_DATA_OUT[11] 	 location (0, 3, 0) 	 N4 	 
OUTPUT BUFFER_ADDRESS[1] 	 location (0, 17, 0) 	 G1 	 
INPUT  D9_in 	 location (4, 33, 1) 	 A1 	 
INPUT  D5_in 	 location (2, 33, 0) 	 E5 	 
INPUT  D0_in 	 location (13, 33, 0) 	 B8 	 
OUTPUT B_OE 	 location (0, 4, 0) 	 M5 	 
INPUT  BUFFER_DATA_IN[10] 	 location (12, 33, 0) 	 A7 	 
OUTPUT A10 	 location (31, 33, 1) 	 C14 	 
INPUT  D10_in 	 location (14, 33, 1) 	 D8 	 
OUTPUT BUFFER_DATA_OUT[8] 	 location (0, 22, 0) 	 F3 	 
INPUT  BUFFER_DATA_IN[8] 	 location (5, 33, 1) 	 A2 	 
OUTPUT A8 	 location (33, 24, 0) 	 D16 	 
INPUT  D11_in 	 location (17, 33, 0) 	 C8 	 
OUTPUT D0 	 location (33, 2, 1) 	 P15 	 
OUTPUT BUFFER_DATA_OUT[1] 	 location (0, 23, 0) 	 E2 	 
INPUT  BUFFER_DATA_IN[3] 	 location (19, 33, 1) 	 E9 	 
OUTPUT A1 	 location (33, 21, 0) 	 F16 	 
OUTPUT GPIO11 	 location (2, 33, 1) 	 D4 	 
INPUT  D4_in 	 location (0, 28, 1) 	 C1 	 
OUTPUT BUFFER_ADDRESS[5] 	 location (0, 6, 1) 	 L5 	 
OUTPUT BUFFER_ADDRESS[13] 	 location (0, 14, 0) 	 J1 	 
OUTPUT GPIO9 	 location (6, 33, 1) 	 B4 	 
OUTPUT A14 	 location (31, 33, 0) 	 B15 	 
OUTPUT BUFFER_DATA_OUT[4] 	 location (0, 18, 1) 	 J4 	 
INPUT  BUFFER_DATA_IN[4] 	 location (0, 30, 0) 	 B1 	 
INPUT  BUFFER_DATA_IN[15] 	 location (5, 33, 0) 	 D5 	 
OUTPUT BUFFER_ADDRESS[11] 	 location (0, 16, 0) 	 H1 	 
OUTPUT LB 	 location (0, 25, 0) 	 D1 	 
OUTPUT D4 	 location (33, 4, 0) 	 M14 	 
INPUT  D13_in 	 location (8, 33, 0) 	 A5 	 
OUTPUT D11 	 location (33, 6, 1) 	 K12 	 
OUTPUT B_CE 	 location (0, 9, 0) 	 M2 	 
OUTPUT BUFFER_ADDRESS[2] 	 location (0, 5, 0) 	 M4 	 
OUTPUT A5 	 location (30, 33, 1) 	 D13 	 
INPUT  D14_in 	 location (0, 30, 1) 	 F5 	 
OUTPUT B_WR 	 location (0, 21, 0) 	 F2 	 
OUTPUT BUFFER_DATA_OUT[2] 	 location (0, 18, 0) 	 H2 	 
INPUT  BUFFER_DATA_IN[6] 	 location (0, 31, 0) 	 B2 	 
OUTPUT BUFFER_ADDRESS[9] 	 location (0, 8, 1) 	 L7 	 
OUTPUT A2 	 location (33, 30, 1) 	 E13 	 
OUTPUT A11 	 location (33, 28, 0) 	 C16 	 
OUTPUT D6 	 location (33, 7, 0) 	 M16 	 
OUTPUT D13 	 location (33, 11, 0) 	 K14 	 
OUTPUT B_LB 	 location (0, 20, 0) 	 F1 	 
OUTPUT BUFFER_DATA_OUT[10] 	 location (0, 28, 0) 	 C2 	 
INPUT  BUFFER_DATA_IN[9] 	 location (4, 33, 0) 	 C5 	 
OUTPUT BUFFER_ADDRESS[14] 	 location (0, 13, 1) 	 K1 	 
OUTPUT BUFFER_ADDRESS[0] 	 location (0, 17, 1) 	 J5 	 
OUTPUT D1 	 location (33, 3, 0) 	 P16 	 
OUTPUT BUFFER_DATA_OUT[0] 	 location (0, 10, 0) 	 L3 	 
INPUT  BUFFER_DATA_IN[0] 	 location (11, 33, 1) 	 C7 	 
OUTPUT A0 	 location (33, 22, 0) 	 F15 	 
OUTPUT OE 	 location (0, 24, 1) 	 G4 	 
OUTPUT D8 	 location (33, 5, 1) 	 L13 	 
OUTPUT D15 	 location (33, 13, 0) 	 K16 	 
OUTPUT BUFFER_DATA_OUT[12] 	 location (0, 27, 1) 	 F4 	 
OUTPUT BUFFER_ADDRESS[6] 	 location (0, 7, 0) 	 M3 	 
OUTPUT BUFFER_ADDRESS[12] 	 location (0, 14, 1) 	 J2 	 
INPUT  D15_in 	 location (7, 33, 0) 	 E6 	 
INPUT  BUFFER_DATA_IN[13] 	 location (7, 33, 1) 	 B5 	 
OUTPUT A15 	 location (27, 33, 0) 	 A15 	 
OUTPUT BUFFER_DATA_OUT[7] 	 location (0, 25, 1) 	 G5 	 
INPUT  BUFFER_DATA_IN[5] 	 location (3, 33, 0) 	 B3 	 
OUTPUT UB 	 location (0, 24, 0) 	 E3 	 
OUTPUT D5 	 location (33, 8, 0) 	 M15 	 
OUTPUT D10 	 location (33, 10, 0) 	 L16 	 
OUTPUT BUFFER_ADDRESS[3] 	 location (0, 5, 1) 	 P1 	 
OUTPUT A4 	 location (33, 23, 0) 	 E16 	 
OUTPUT GPIO3 	 location (1, 33, 0) 	 C3 	 
INPUT  D1_in 	 location (19, 33, 0) 	 D9 	 
OUTPUT TX 	 location (24, 0, 0) 	 T13 	 
INPUT  D7_in 	 location (10, 33, 1) 	 B6 	 
OUTPUT BUFFER_DATA_OUT[3] 	 location (0, 19, 0) 	 G2 	 
INPUT  BUFFER_DATA_IN[1] 	 location (20, 33, 1) 	 D10 	 
OUTPUT BUFFER_ADDRESS[8] 	 location (0, 8, 0) 	 N2 	 
OUTPUT A3 	 location (33, 27, 1) 	 E14 	 
OUTPUT D9 	 location (33, 6, 0) 	 L14 	 
OUTPUT D14 	 location (33, 12, 0) 	 K15 	 
OUTPUT BUFFER_DATA_OUT[13] 	 location (0, 12, 0) 	 L1 	 
OUTPUT BUFFER_ADDRESS[7] 	 location (0, 7, 1) 	 M6 	 
OUTPUT BUFFER_ADDRESS[15] 	 location (0, 13, 0) 	 K3 	 
OUTPUT WR 	 location (0, 23, 1) 	 H5 	 
INPUT  D3_in 	 location (9, 33, 0) 	 A6 	 
INPUT  BUFFER_DATA_IN[12] 	 location (16, 33, 1) 	 F7 	 
OUTPUT A12 	 location (33, 30, 0) 	 B16 	 
INPUT  D2_in 	 location (18, 33, 1) 	 A9 	 
INPUT  D12_in 	 location (17, 33, 1) 	 F9 	 
OUTPUT BUFFER_DATA_OUT[6] 	 location (0, 12, 1) 	 L4 	 
OUTPUT D2 	 location (33, 5, 0) 	 N16 	 
OUTPUT B_UB 	 location (0, 20, 1) 	 H6 	 
OUTPUT BUFFER_DATA_OUT[14] 	 location (0, 22, 1) 	 G3 	 
OUTPUT A7 	 location (33, 26, 0) 	 D15 	 
