* ******************************************************************************

* iCEcube Pin Table

* Version:            2017.08.27940

* Build Date:         Sep 11 2017 16:52:36

* File Generated:     Sep 27 2020 03:05:02

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX8K
Package, CT256

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
A1, PIO, D9_in, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
A2, PIO, BUFFER_DATA_IN[8], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
A3, VCCIO_0, not used, , , , , , topBank
A4, GND, not used, , , , , , UnknownBank
A5, PIO, D13_in, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
A6, PIO, D3_in, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
A7, PIO, BUFFER_DATA_IN[10], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
A8, VCCIO_0, not used, , , , , , topBank
A9, PIO, D2_in, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
A10, PIO, not used, , , , , , topBank
A11, PIO, not used, , , , , , topBank
A12, GND, not used, , , , , , UnknownBank
A13, VCCIO_0, not used, , , , , , topBank
A14, VCC, not used, , , , , , UnknownBank
A15, PIO, A15, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
A16, PIO, A13, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
B1, PIO, BUFFER_DATA_IN[4], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
B2, PIO, BUFFER_DATA_IN[6], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
B3, PIO, BUFFER_DATA_IN[5], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
B4, PIO, GPIO9, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
B5, PIO, BUFFER_DATA_IN[13], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
B6, PIO, D7_in, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
B7, PIO, not used, , , , , , topBank
B8, PIO, D0_in, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
B9, PIO, BUFFER_DATA_IN[11], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
B10, PIO, not used, , , , , , topBank
B11, PIO, not used, , , , , , topBank
B12, PIO, not used, , , , , , topBank
B13, PIO, not used, , , , , , topBank
B14, PIO, not used, , , , , , topBank
B15, PIO, A14, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
B16, PIO, A12, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
C1, PIO, D4_in, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
