@W: CG360 :"C:\LinuxEnv\Cygwin\home\Gabriel\testbenches\REG\verilog\control.v":19:23:19:26|Removing wire hreg, as there is no assignment to it.
@W: CG360 :"C:\LinuxEnv\Cygwin\home\Gabriel\testbenches\REG\verilog\control.v":21:23:21:28|Removing wire romAdd, as there is no assignment to it.
@W: CL169 :"C:\LinuxEnv\Cygwin\home\Gabriel\testbenches\REG\verilog\control.v":46:2:46:7|Pruning unused register increment. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\LinuxEnv\Cygwin\home\Gabriel\testbenches\REG\verilog\control.v":44:2:44:7|Pruning unused register programCounter[15:0]. Make sure that there are no unused intermediate registers.
@W: CG360 :"C:\LinuxEnv\Cygwin\home\Gabriel\testbenches\REG\verilog\top.v":111:14:111:19|Removing wire ramOut, as there is no assignment to it.
@W: CG360 :"C:\LinuxEnv\Cygwin\home\Gabriel\testbenches\REG\verilog\top.v":112:14:112:19|Removing wire romOut, as there is no assignment to it.
@W: CG360 :"C:\LinuxEnv\Cygwin\home\Gabriel\testbenches\REG\verilog\top.v":113:14:113:19|Removing wire gpuOut, as there is no assignment to it.
@W: CG360 :"C:\LinuxEnv\Cygwin\home\Gabriel\testbenches\REG\verilog\top.v":114:14:114:19|Removing wire apuOut, as there is no assignment to it.
@W: CG360 :"C:\LinuxEnv\Cygwin\home\Gabriel\testbenches\REG\verilog\top.v":115:14:115:19|Removing wire clkOut, as there is no assignment to it.
@W: CG133 :"C:\LinuxEnv\Cygwin\home\Gabriel\testbenches\REG\verilog\top.v":134:13:134:15|Object din is declared but not assigned. Either assign a value or remove the declaration.
@W: CG360 :"C:\LinuxEnv\Cygwin\home\Gabriel\testbenches\REG\verilog\top.v":135:14:135:17|Removing wire dout, as there is no assignment to it.
@W: CL169 :"C:\LinuxEnv\Cygwin\home\Gabriel\testbenches\REG\verilog\top.v":160:2:160:7|Pruning unused register testWord_15[31:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\LinuxEnv\Cygwin\home\Gabriel\testbenches\REG\verilog\top.v":160:2:160:7|Pruning unused register testClock. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\LinuxEnv\Cygwin\home\Gabriel\testbenches\REG\verilog\top.v":160:2:160:7|Pruning unused register testWord_15[31:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\LinuxEnv\Cygwin\home\Gabriel\testbenches\REG\verilog\top.v":160:2:160:7|Pruning unused register testClock. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\LinuxEnv\Cygwin\home\Gabriel\testbenches\REG\verilog\top.v":160:2:160:7|Pruning unused register testClock. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\LinuxEnv\Cygwin\home\Gabriel\testbenches\REG\verilog\top.v":160:2:160:7|Pruning unused register testWord_15[31:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\LinuxEnv\Cygwin\home\Gabriel\testbenches\REG\verilog\top.v":160:2:160:7|Pruning unused register testClock. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\LinuxEnv\Cygwin\home\Gabriel\testbenches\REG\verilog\top.v":119:4:119:7|Pruning unused register bus[8]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\LinuxEnv\Cygwin\home\Gabriel\testbenches\REG\verilog\top.v":119:4:119:7|Pruning unused register bus[9]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\LinuxEnv\Cygwin\home\Gabriel\testbenches\REG\verilog\top.v":119:4:119:7|Pruning unused register bus[10]. Make sure that there are no unused intermediate registers.
